stopId1, stopId2, time
12351217,12348192,15
12351217,12349057,16
12351217,12349516,5
12351217,12343415,17
12351217,12351488,17
12351217,12350135,13
12351217,12345328,61
12351217,12348444,62
12351217,12350840,58
12351217,12350818,68
12351217,12350484,44
12351217,12308520,44
12351217,12349005,42
12351217,12350627,50
12351217,12349651,51
12351217,12351196,50
12351217,12349968,50
12351217,12350265,55
12351217,12351082,39
12351217,12342376,58
12351217,12349989,44
12351217,12351272,46
12351217,12351315,64
12351217,12347928,55
12351217,12351049,56
12351217,12349009,59
12351217,12351024,59
12351217,12350358,47
12351217,12351769,48
12351217,12350501,36
12351217,12348896,41
12351217,12349842,37
12351217,12350103,25
12351217,12349706,33
12351217,12337737,35
12351217,12346603,37
12351217,12350687,39
12351217,12348803,33
12351217,12350757,30
12351217,12345730,47
12351217,12348335,32
12351217,12347871,49
12351217,12350758,48
12351217,12349553,44
12351217,12350656,28
12351217,12338526,32
12351217,12348665,46
12351217,12350684,33
12351217,12347260,29
12351217,12348709,42
12351217,12332932,66
12351217,12345229,54
12351217,12350492,59
12351217,12346752,62
12351217,12349283,45
12351217,12339545,124
12351217,12350842,45
12351217,12351426,45
12351217,12348694,31
12351217,12350468,45
12351217,Depot,45
12348192,12351217,15
12348192,12349057,6
12348192,12349516,13
12348192,12343415,29
12348192,12351488,11
12348192,12350135,10
12348192,12345328,58
12348192,12348444,59
12348192,12350840,55
12348192,12350818,66
12348192,12350484,42
12348192,12308520,43
12348192,12349005,46
12348192,12350627,48
12348192,12349651,49
12348192,12351196,48
12348192,12349968,48
12348192,12350265,52
12348192,12351082,45
12348192,12342376,56
12348192,12349989,42
12348192,12351272,44
12348192,12351315,62
12348192,12347928,53
12348192,12351049,54
12348192,12349009,53
12348192,12351024,57
12348192,12350358,45
12348192,12351769,46
12348192,12350501,48
12348192,12348896,39
12348192,12349842,34
12348192,12350103,31
12348192,12349706,45
12348192,12337737,33
12348192,12346603,36
12348192,12350687,37
12348192,12348803,32
12348192,12350757,27
12348192,12345730,45
12348192,12348335,43
12348192,12347871,47
12348192,12350758,46
12348192,12349553,42
12348192,12350656,25
12348192,12338526,30
12348192,12348665,44
12348192,12350684,31
12348192,12347260,41
12348192,12348709,40
12348192,12332932,73
12348192,12345229,60
